Sakura Kinomoto,1,1,0,0,0,121,2,0,0,1
Seal,1,1,0,0,1,110,1,0,0,1
Keroberos,1,1,0,0,0,121,1,0,0,1
Sakura,1,0,0,0,0,121,1,0,0,1
Clow Reed,1,1,0,0,0,121,2,0,0,1
Clow,1,1,0,0,0,121,1,0,0,1
Sakura,1,0,0,0,0,121,1,0,0,1
Sakura,1,0,0,0,0,121,1,0,0,1
Cardcaptor,1,1,0,0,1,121,1,0,0,1
Keroberos,1,1,0,0,0,121,1,0,0,1
Tomoyo Daidouji,1,1,1,0,0,121,2,0,0,1
Sakura,1,0,0,0,0,121,1,0,0,1
Sakura,1,0,0,0,0,121,1,0,0,1
Cardcaptor,1,1,0,0,1,121,1,0,0,1
Clow Cards,1,0,0,0,0,121,2,0,0,0
Cards,1,0,0,0,1,110,1,0,0,0
Cards,1,0,0,0,1,110,1,0,0,0
Cards,1,0,0,0,1,110,1,0,0,0
Cards,1,0,0,0,1,110,1,0,0,0
Seal,1,1,0,0,1,110,1,0,0,0
Cards,1,0,0,0,1,110,1,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
title of,0,1,0,0,0,121,2,0,2,0
Saito Hiraga,1,1,0,0,0,121,2,0,0,1
Louise,1,0,0,0,0,121,1,0,0,1
King Joseph,1,0,0,1,0,121,2,0,0,1
Louise,1,0,0,0,0,121,1,0,0,1
Saito,1,0,0,0,0,121,1,0,0,1
Zero,1,0,0,0,0,110,1,0,0,0
Tsukaima,1,0,0,0,0,121,1,0,0,0
Holy City,1,0,0,0,1,121,2,0,0,0
Romalia,1,0,0,0,0,121,1,0,0,0
Zero,1,0,0,0,0,110,1,0,0,0
Tsukaima,1,0,0,0,0,121,1,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
who control,0,1,0,0,0,121,2,0,2,0
Galactic Alliance,1,0,0,0,1,121,2,0,0,1
Hideauze,1,1,0,0,0,121,1,0,0,1
Chamber,1,1,0,0,0,110,1,0,0,1
Ledo,1,0,0,0,0,121,1,0,0,1
Galactic Alliance,1,0,0,0,1,121,2,0,0,1
Ledo,1,0,0,0,0,121,1,0,0,1
Gargantia,1,1,0,0,0,121,1,0,0,1
Ledo,1,0,0,0,0,121,1,0,0,1
Amy,1,1,0,0,0,121,1,0,0,1
Ledo,1,0,0,0,0,121,1,0,0,1
Earth,1,1,0,0,1,110,1,0,0,0
Humanity,1,0,0,0,0,110,1,0,0,0
Earth,1,1,0,0,1,110,1,0,0,0
Chamber,1,0,0,0,0,110,1,0,0,0
Gargantia,1,0,0,0,0,121,1,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
reaches of,0,1,0,0,0,121,2,0,2,0
Kiba,1,0,0,0,0,121,1,0,0,1
Lord Orkham,1,1,0,0,0,121,2,0,0,1
Kiba,1,0,0,0,0,121,1,0,0,1
Hige,1,1,0,0,0,121,1,0,0,1
Tsume,1,1,0,0,0,121,1,0,0,1
Toboe,1,0,1,0,0,121,1,0,0,1
Though,1,1,0,0,0,114,1,0,0,0
Lunar Flowers,1,1,0,0,0,121,2,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
and those,0,1,0,0,0,121,2,0,2,0
Manta Oyamada,1,1,0,0,0,121,2,0,0,1
Asakura,1,1,0,0,0,121,1,0,0,1
Manta,1,0,0,0,0,110,1,0,0,1
Manta,1,0,0,0,0,110,1,0,0,1
Manta,1,0,0,0,0,110,1,0,0,1
Amidamaru,1,1,0,0,0,121,1,0,0,1
Manta,1,0,0,0,0,110,1,0,0,1
Tokyo,1,1,1,0,0,110,1,0,0,0
Shaman,1,0,0,0,1,110,1,0,0,0
Shaman,1,0,0,0,1,110,1,0,0,0
Shaman,1,0,0,0,1,110,1,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
only one,0,1,0,0,0,121,2,0,2,0
Hunter,1,0,0,0,0,110,1,0,0,1
Gon Freecss,1,1,0,0,0,121,2,0,0,1
Kurapika,1,1,0,0,0,121,1,0,0,1
Leorio Paladiknight,1,1,0,0,0,121,2,0,0,1
Gon,1,1,0,0,0,121,1,0,0,1
Killua Zoldyck,1,1,0,0,0,121,2,0,0,1
Hunter,1,0,0,0,0,110,1,0,0,1
